ID,Year_Birth,Education,Income,Kidhome,MntWines,Customer_Age,Customer_Generation,Customer_Age_Group,Customer_Age_Group2,Education2,Kidhome2,Amount_Group
6566,1954,PhD,72550.0,1,826,65,Baby Boomers & Older,Seniors,Seniors,PhD,1,301-1000
8614,1957,Undergraduate,65486.0,0,245,62,Baby Boomers & Older,Adults,Seniors,Undergraduate & Master,0,101-300
4114,1964,Master,79143.0,0,650,55,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
1331,1977,Undergraduate,35790.0,1,12,42,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
2225,1977,Undergraduate,82582.0,0,510,42,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
9381,1978,Undergraduate,66373.0,1,328,41,Generation X,Adults,Adults,Undergraduate & Master,1,301-1000
6260,1955,Master,82384.0,0,984,64,Baby Boomers & Older,Adults,Seniors,Undergraduate & Master,0,301-1000
10383,1966,Undergraduate,70287.0,0,295,53,Generation X,Adults,Adults,Undergraduate & Master,0,101-300
7437,1988,Undergraduate,27938.0,1,13,31,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,1,0-40
8375,1968,PhD,55954.0,0,447,51,Generation X,Adults,Adults,PhD,0,301-1000
6853,1982,Master,75777.0,0,712,37,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,0,301-1000
3076,1975,Undergraduate,66653.0,1,452,44,Generation X,Adults,Adults,Undergraduate & Master,1,301-1000
1012,1952,Undergraduate,61823.0,0,523,67,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,301-1000
6518,1951,PhD,67680.0,0,546,68,Baby Boomers & Older,Seniors,Seniors,PhD,0,301-1000
4137,1948,Undergraduate,70666.0,0,398,71,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,301-1000
8082,1971,Undergraduate,25721.0,1,1,48,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
1386,1967,Undergraduate,32474.0,1,10,52,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
9369,1979,Undergraduate,88194.0,0,688,40,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,0,301-1000
4477,1958,Undergraduate,69096.0,0,247,61,Baby Boomers & Older,Adults,Seniors,Undergraduate & Master,0,101-300
1357,1970,Undergraduate,74854.0,1,856,49,Generation X,Adults,Adults,Undergraduate & Master,1,301-1000
1402,1954,Master,66991.0,0,496,65,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,301-1000
6312,1959,Undergraduate,65031.0,0,258,60,Baby Boomers & Older,Adults,Adults,Undergraduate & Master,0,101-300
8132,1975,PhD,60631.0,1,565,44,Generation X,Adults,Adults,PhD,1,301-1000
1050,1952,Undergraduate,28332.0,0,14,67,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,0-40
5846,1977,Undergraduate,40246.0,1,2,42,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
1859,1972,Master,75251.0,0,721,47,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
7503,1976,Undergraduate,75825.0,0,1032,43,Generation X,Adults,Adults,Undergraduate & Master,0,
10401,1976,Undergraduate,26326.0,0,1,43,Generation X,Adults,Adults,Undergraduate & Master,0,0-40
1618,1965,Undergraduate,56046.0,0,577,54,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
3332,1985,Undergraduate,29760.0,1,64,34,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,1,41-100
2261,1969,Undergraduate,26304.0,1,4,50,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
5346,1973,Undergraduate,23559.0,1,25,46,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
4119,1963,Master,38620.0,0,112,56,Generation X,Adults,Adults,Undergraduate & Master,0,101-300
535,1987,Undergraduate,81361.0,0,163,32,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,0,101-300
5268,1960,Undergraduate,29440.0,1,17,59,Baby Boomers & Older,Adults,Adults,Undergraduate & Master,1,0-40
273,1970,Master,36138.0,1,130,49,Generation X,Adults,Adults,Undergraduate & Master,1,101-300
4452,1957,Undergraduate,50388.0,0,292,62,Baby Boomers & Older,Adults,Seniors,Undergraduate & Master,0,101-300
8504,1973,Undergraduate,79593.0,0,350,46,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
771,1967,Undergraduate,54178.0,0,135,52,Generation X,Adults,Adults,Undergraduate & Master,0,101-300
11178,1972,Master,42394.0,1,15,47,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
2230,1970,PhD,23626.0,1,27,49,Generation X,Adults,Adults,PhD,1,0-40
7516,1983,Undergraduate,30096.0,1,5,36,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,1,0-40
7247,1960,Undergraduate,47916.0,0,505,59,Baby Boomers & Older,Adults,Adults,Undergraduate & Master,0,301-1000
11100,1972,Undergraduate,51813.0,1,51,47,Generation X,Adults,Adults,Undergraduate & Master,1,41-100
4646,1951,Undergraduate,78497.0,0,207,68,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,101-300
3037,1983,PhD,50150.0,0,135,36,Millennials & Generation Z,Adults,Adults,PhD,0,101-300
1473,1960,Undergraduate,47823.0,0,53,59,Baby Boomers & Older,Adults,Adults,Undergraduate & Master,0,41-100
1016,1959,PhD,34554.0,0,41,60,Baby Boomers & Older,Adults,Adults,PhD,0,41-100
4518,1979,Undergraduate,85693.0,0,386,40,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,0,301-1000
9370,1945,PhD,65846.0,0,562,74,Baby Boomers & Older,Seniors,Seniors,PhD,0,301-1000
8908,1959,Undergraduate,87195.0,0,217,60,Baby Boomers & Older,Adults,Adults,Undergraduate & Master,0,101-300
7533,1964,Undergraduate,49096.0,1,144,55,Generation X,Adults,Adults,Undergraduate & Master,1,101-300
2683,1969,Undergraduate,52413.0,0,295,50,Generation X,Adults,Adults,Undergraduate & Master,0,101-300
3629,1978,Undergraduate,38557.0,1,76,41,Generation X,Adults,Adults,Undergraduate & Master,1,41-100
10991,1960,Master,89058.0,0,454,59,Baby Boomers & Older,Adults,Adults,Undergraduate & Master,0,301-1000
5077,1979,Undergraduate,77298.0,0,425,40,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,0,301-1000
7431,1991,PhD,68126.0,0,1332,28,Millennials & Generation Z,Young Adults,Adults,PhD,0,
3267,1963,Master,57288.0,0,527,56,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
999,1991,Undergraduate,86037.0,0,490,28,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,0,301-1000
9215,1980,PhD,43974.0,1,378,39,Millennials & Generation Z,Adults,Adults,PhD,1,301-1000
2286,1962,Undergraduate,50785.0,1,64,57,Generation X,Adults,Adults,Undergraduate & Master,1,41-100
1592,1970,Undergraduate,90765.0,0,547,49,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
367,1978,Undergraduate,36550.0,1,47,41,Generation X,Adults,Adults,Undergraduate & Master,1,41-100
5234,1967,Undergraduate,30753.0,1,12,52,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
9862,1969,Undergraduate,21918.0,1,1,50,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
9805,1953,Master,56129.0,0,320,66,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,301-1000
6205,1967,Master,32557.0,1,34,52,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
8442,1985,Master,19510.0,2,9,34,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,1,0-40
7386,1976,Undergraduate,30992.0,1,17,43,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
7215,1983,Undergraduate,101970.0,0,722,36,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,0,301-1000
1491,1965,Undergraduate,71488.0,0,162,54,Generation X,Adults,Adults,Undergraduate & Master,0,101-300
11071,1984,Undergraduate,79607.0,0,450,35,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,0,301-1000
3381,1953,Master,54348.0,1,70,66,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,1,41-100
11051,1956,PhD,77376.0,1,492,63,Baby Boomers & Older,Adults,Seniors,PhD,1,301-1000
8026,1952,Undergraduate,62998.0,0,120,67,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,101-300
433,1958,Master,61331.0,1,534,61,Baby Boomers & Older,Adults,Seniors,Undergraduate & Master,1,301-1000
9597,1969,Undergraduate,73448.0,0,236,50,Generation X,Adults,Adults,Undergraduate & Master,0,101-300
5290,1964,PhD,41551.0,1,220,55,Generation X,Adults,Adults,PhD,1,101-300
1685,1967,PhD,62981.0,0,796,52,Generation X,Adults,Adults,PhD,0,301-1000
9579,1959,PhD,33762.0,2,53,60,Baby Boomers & Older,Adults,Adults,PhD,1,41-100
7660,1973,PhD,35860.0,1,15,46,Generation X,Adults,Adults,PhD,1,0-40
1461,1965,PhD,36921.0,1,17,54,Generation X,Adults,Adults,PhD,1,0-40
821,1992,Master,92859.0,0,962,27,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,0,301-1000
11084,1976,Master,65104.0,0,738,43,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
8690,1962,Undergraduate,86111.0,0,399,57,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
2937,1974,PhD,68352.0,0,614,45,Generation X,Adults,Adults,PhD,0,301-1000
9701,1988,Undergraduate,41883.0,1,32,31,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,1,0-40
9949,1976,Undergraduate,59809.0,0,598,43,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
10837,1975,Undergraduate,23957.0,1,2,44,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
3120,1981,Undergraduate,38547.0,1,6,38,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,1,0-40
5885,1973,Undergraduate,35688.0,2,73,46,Generation X,Adults,Adults,Undergraduate & Master,1,41-100
4050,1966,Master,49605.0,0,42,53,Generation X,Adults,Adults,Undergraduate & Master,0,41-100
3830,1953,Master,59354.0,0,295,66,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,101-300
7987,1969,Undergraduate,65747.0,0,346,50,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
7798,1972,Undergraduate,46344.0,0,233,47,Generation X,Adults,Adults,Undergraduate & Master,0,101-300
92,1988,Undergraduate,34176.0,1,5,31,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,1,0-40
7055,1952,PhD,61010.0,0,888,67,Baby Boomers & Older,Seniors,Seniors,PhD,0,301-1000
10240,1949,Undergraduate,69372.0,0,997,70,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,301-1000
3025,1958,Undergraduate,49967.0,0,212,61,Baby Boomers & Older,Adults,Seniors,Undergraduate & Master,0,101-300
9283,1978,Undergraduate,60199.0,1,8,41,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
9970,1977,Undergraduate,55375.0,0,42,42,Generation X,Adults,Adults,Undergraduate & Master,0,41-100
2730,1955,Undergraduate,80317.0,0,536,64,Baby Boomers & Older,Adults,Seniors,Undergraduate & Master,0,301-1000
2795,1958,Master,30523.0,2,5,61,Baby Boomers & Older,Adults,Seniors,Undergraduate & Master,1,0-40
9260,1945,PhD,70356.0,0,1349,74,Baby Boomers & Older,Seniors,Seniors,PhD,0,
8182,1984,Undergraduate,23228.0,1,53,35,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,1,41-100
10095,1975,PhD,74165.0,0,1001,44,Generation X,Adults,Adults,PhD,0,
4370,1966,Undergraduate,43482.0,2,18,53,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
10573,1953,Undergraduate,62551.0,0,125,66,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,101-300
3712,1959,Undergraduate,52332.0,0,212,60,Baby Boomers & Older,Adults,Adults,Undergraduate & Master,0,101-300
6637,1988,Undergraduate,66951.0,0,277,31,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,0,101-300
3152,1957,Undergraduate,26091.0,1,15,62,Baby Boomers & Older,Adults,Seniors,Undergraduate & Master,1,0-40
5610,1965,Undergraduate,33456.0,1,7,54,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
6460,1982,Undergraduate,28718.0,1,12,37,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,1,0-40
1349,1970,Undergraduate,50447.0,2,85,49,Generation X,Adults,Adults,Undergraduate & Master,1,41-100
1880,1959,PhD,53537.0,1,81,60,Baby Boomers & Older,Adults,Adults,PhD,1,41-100
641,1967,Undergraduate,52074.0,0,59,52,Generation X,Adults,Adults,Undergraduate & Master,0,41-100
8717,1975,PhD,80427.0,0,1149,44,Generation X,Adults,Adults,PhD,0,
10314,1948,PhD,83837.0,0,847,71,Baby Boomers & Older,Seniors,Seniors,PhD,0,301-1000
10854,1970,PhD,38853.0,1,29,49,Generation X,Adults,Adults,PhD,1,0-40
10492,1959,Undergraduate,38285.0,2,2,60,Baby Boomers & Older,Adults,Adults,Undergraduate & Master,1,0-40
6935,1951,Undergraduate,78497.0,0,207,68,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,101-300
7698,1976,PhD,51650.0,0,152,43,Generation X,Adults,Adults,PhD,0,101-300
3559,1988,Undergraduate,16248.0,1,12,31,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,1,0-40
10562,1946,Master,66835.0,0,620,73,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,301-1000
10796,1984,Master,30477.0,1,47,35,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,1,41-100
3518,1983,Undergraduate,25271.0,1,10,36,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,1,0-40
5823,1970,PhD,32303.0,0,35,49,Generation X,Adults,Adults,PhD,0,0-40
3934,1966,Undergraduate,61286.0,0,356,53,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
6982,1976,Undergraduate,74068.0,0,783,43,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
6431,1964,PhD,45759.0,1,42,55,Generation X,Adults,Adults,PhD,1,41-100
5602,1989,PhD,66973.0,0,466,30,Millennials & Generation Z,Young Adults,Adults,PhD,0,301-1000
7829,1900,Undergraduate,36640.0,1,15,119,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,1,0-40
1324,1988,Undergraduate,38872.0,1,23,31,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,1,0-40
326,1973,Undergraduate,51148.0,1,235,46,Generation X,Adults,Adults,Undergraduate & Master,1,101-300
7224,1977,Undergraduate,31353.0,1,10,42,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
6999,1980,Master,69661.0,0,656,39,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,0,301-1000
9938,1954,Undergraduate,80067.0,0,519,65,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,301-1000
6422,1954,Undergraduate,86718.0,0,344,65,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,301-1000
3182,1973,PhD,46854.0,1,96,46,Generation X,Adults,Adults,PhD,1,41-100
7300,1952,Undergraduate,69142.0,0,448,67,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,301-1000
10424,1968,Undergraduate,75922.0,0,265,51,Generation X,Adults,Adults,Undergraduate & Master,0,101-300
8727,1978,Undergraduate,63693.0,0,587,41,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
2798,1977,PhD,102160.0,0,763,42,Generation X,Adults,Adults,PhD,0,301-1000
1030,1965,PhD,40637.0,1,22,54,Generation X,Adults,Adults,PhD,1,0-40
624,1984,Master,18890.0,0,6,35,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,0,0-40
5176,1988,Undergraduate,29604.0,1,7,31,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,1,0-40
5552,1963,Master,48721.0,1,81,56,Generation X,Adults,Adults,Undergraduate & Master,1,41-100
868,1966,Undergraduate,44794.0,0,54,53,Generation X,Adults,Adults,Undergraduate & Master,0,41-100
380,1954,Undergraduate,64497.0,0,1170,65,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,
2677,1956,Undergraduate,46097.0,0,72,63,Baby Boomers & Older,Adults,Seniors,Undergraduate & Master,0,41-100
6521,1954,Undergraduate,77972.0,0,613,65,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,301-1000
6927,1968,PhD,44377.0,1,224,51,Generation X,Adults,Adults,PhD,1,101-300
2877,1974,Master,46014.0,1,410,45,Generation X,Adults,Adults,Undergraduate & Master,1,301-1000
0,1985,Undergraduate,70951.0,0,239,34,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,0,101-300
1584,1977,Undergraduate,41443.0,1,171,42,Generation X,Adults,Adults,Undergraduate & Master,1,101-300
7264,1978,Undergraduate,52195.0,2,12,41,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
6274,1948,Master,83790.0,0,1076,71,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,
1377,1954,Master,44551.0,0,182,65,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,101-300
454,1980,Undergraduate,69508.0,1,824,39,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,1,301-1000
1755,1988,Undergraduate,45204.0,1,30,31,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,1,0-40
2075,1969,Undergraduate,72460.0,0,377,50,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
4785,1970,PhD,77622.0,0,520,49,Generation X,Adults,Adults,PhD,0,301-1000
9076,1980,PhD,30732.0,1,155,39,Millennials & Generation Z,Adults,Adults,PhD,1,101-300
7079,1962,Undergraduate,63887.0,0,897,57,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
4653,1978,Undergraduate,42011.0,1,131,41,Generation X,Adults,Adults,Undergraduate & Master,1,101-300
7375,1976,Undergraduate,51369.0,0,297,43,Generation X,Adults,Adults,Undergraduate & Master,0,101-300
709,1952,Undergraduate,51537.0,0,787,67,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,301-1000
460,1972,PhD,79930.0,0,792,47,Generation X,Adults,Adults,PhD,0,301-1000
3726,1986,PhD,34320.0,1,4,33,Millennials & Generation Z,Young Adults,Adults,PhD,1,0-40
6798,1966,Undergraduate,37070.0,1,231,53,Generation X,Adults,Adults,Undergraduate & Master,1,101-300
5341,1962,Undergraduate,81975.0,0,983,57,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
1606,1971,Undergraduate,38590.0,1,3,48,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
3233,1965,PhD,62745.0,0,562,54,Generation X,Adults,Adults,PhD,0,301-1000
89,1975,Undergraduate,22212.0,1,5,44,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
2936,1982,Master,23661.0,1,18,37,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,1,0-40
9449,1958,PhD,79761.0,0,415,61,Baby Boomers & Older,Adults,Seniors,PhD,0,301-1000
7297,1973,Undergraduate,7500.0,1,5,46,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
11004,1893,Undergraduate,60182.0,0,8,126,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,0-40
313,1968,Undergraduate,73455.0,0,901,51,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
9940,1958,Undergraduate,64961.0,0,382,61,Baby Boomers & Older,Adults,Seniors,Undergraduate & Master,0,301-1000
10735,1971,Undergraduate,22804.0,1,14,48,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
9529,1990,Undergraduate,73687.0,0,559,29,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,0,301-1000
6439,1958,Undergraduate,61074.0,0,789,61,Baby Boomers & Older,Adults,Seniors,Undergraduate & Master,0,301-1000
7411,1964,PhD,31686.0,1,11,55,Generation X,Adults,Adults,PhD,1,0-40
2176,1972,Undergraduate,80134.0,1,1218,47,Generation X,Adults,Adults,Undergraduate & Master,1,
9265,1953,Undergraduate,75027.0,0,925,66,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,301-1000
8867,1988,PhD,67546.0,0,864,31,Millennials & Generation Z,Young Adults,Adults,PhD,0,301-1000
8932,1969,Master,65176.0,0,960,50,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
10236,1975,Master,31160.0,1,16,44,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
6340,1985,Undergraduate,29938.0,1,3,34,Millennials & Generation Z,Young Adults,Adults,Undergraduate & Master,1,0-40
10089,1974,Undergraduate,102692.0,0,168,45,Generation X,Adults,Adults,Undergraduate & Master,0,101-300
2227,1958,Undergraduate,26490.0,0,45,61,Baby Boomers & Older,Adults,Seniors,Undergraduate & Master,0,41-100
10992,1967,Undergraduate,75702.0,1,650,52,Generation X,Adults,Adults,Undergraduate & Master,1,301-1000
5304,1974,PhD,30899.0,1,24,45,Generation X,Adults,Adults,PhD,1,0-40
309,1961,PhD,63342.0,0,918,58,Generation X,Adults,Adults,PhD,0,301-1000
3406,1964,Undergraduate,45989.0,0,138,55,Generation X,Adults,Adults,Undergraduate & Master,0,101-300
2661,1964,Undergraduate,18701.0,1,12,55,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
3153,1957,PhD,40737.0,2,11,62,Baby Boomers & Older,Adults,Seniors,PhD,1,0-40
10264,1979,Undergraduate,15287.0,1,1,40,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,1,0-40
1184,1968,PhD,69674.0,0,554,51,Generation X,Adults,Adults,PhD,0,301-1000
4200,1970,Master,44159.0,1,167,49,Generation X,Adults,Adults,Undergraduate & Master,1,101-300
9396,1978,PhD,37717.0,1,9,41,Generation X,Adults,Adults,PhD,1,0-40
2387,1952,Master,43776.0,1,177,67,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,1,101-300
6690,1966,Master,38179.0,1,38,53,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
1225,1963,Undergraduate,80124.0,0,483,56,Generation X,Adults,Adults,Undergraduate & Master,0,301-1000
9703,1970,PhD,38097.0,1,77,49,Generation X,Adults,Adults,PhD,1,41-100
291,1970,Undergraduate,72940.0,0,182,49,Generation X,Adults,Adults,Undergraduate & Master,0,101-300
4557,1970,Undergraduate,22070.0,1,10,49,Generation X,Adults,Adults,Undergraduate & Master,1,0-40
2379,1953,Undergraduate,69267.0,0,778,66,Baby Boomers & Older,Seniors,Seniors,Undergraduate & Master,0,301-1000
5726,1983,Master,31788.0,1,16,36,Millennials & Generation Z,Adults,Adults,Undergraduate & Master,1,0-40
3066,1975,PhD,61905.0,0,167,44,Generation X,Adults,Adults,PhD,0,101-300
